Hello, how are you?	你好，最近怎么样？
I love programming.	我喜欢编程。
The weather is nice today.	今天天气很好。
Can you help me?	你能帮我吗？
Where is the nearest station?	最近的车站在哪里？
I need to buy some groceries.	我需要买些日用品。
What time is the meeting?	会议什么时候开始？
This is a great book.	这是一本很棒的书。
I don't understand.	我不明白。
Could you repeat that?	你能重复一遍吗？
The food was delicious.	食物很美味。
I'm learning Chinese.	我正在学习中文。
What's your name?	你叫什么名字？
How old are you?	你多大了？
Where are you from?	你来自哪里？
Nice to meet you.	很高兴认识你。
Thank you very much.	非常感谢。
You're welcome.	不客气。
I'm sorry.	对不起。
Good morning!	早上好！
Good night!	晚安！
See you tomorrow.	明天见。
What do you do?	你是做什么工作的？
I'm a student.	我是一名学生。
Do you speak English?	你会说英语吗？
Yes, a little.	是的，会一点。
How much does it cost?	这个多少钱？
Where is the bathroom?	洗手间在哪里？
I'm lost.	我迷路了。
Call the police!	报警！
This is sample English sentence 31.	这是示例中文句子 31。
This is sample English sentence 32.	这是示例中文句子 32。
This is sample English sentence 33.	这是示例中文句子 33。
This is sample English sentence 34.	这是示例中文句子 34。
This is sample English sentence 35.	这是示例中文句子 35。
This is sample English sentence 36.	这是示例中文句子 36。
This is sample English sentence 37.	这是示例中文句子 37。
This is sample English sentence 38.	这是示例中文句子 38。
This is sample English sentence 39.	这是示例中文句子 39。
This is sample English sentence 40.	这是示例中文句子 40。
This is sample English sentence 41.	这是示例中文句子 41。
This is sample English sentence 42.	这是示例中文句子 42。
This is sample English sentence 43.	这是示例中文句子 43。
This is sample English sentence 44.	这是示例中文句子 44。
This is sample English sentence 45.	这是示例中文句子 45。
This is sample English sentence 46.	这是示例中文句子 46。
This is sample English sentence 47.	这是示例中文句子 47。
This is sample English sentence 48.	这是示例中文句子 48。
This is sample English sentence 49.	这是示例中文句子 49。
This is sample English sentence 50.	这是示例中文句子 50。
This is sample English sentence 51.	这是示例中文句子 51。
This is sample English sentence 52.	这是示例中文句子 52。
This is sample English sentence 53.	这是示例中文句子 53。
This is sample English sentence 54.	这是示例中文句子 54。
This is sample English sentence 55.	这是示例中文句子 55。
This is sample English sentence 56.	这是示例中文句子 56。
This is sample English sentence 57.	这是示例中文句子 57。
This is sample English sentence 58.	这是示例中文句子 58。
This is sample English sentence 59.	这是示例中文句子 59。
This is sample English sentence 60.	这是示例中文句子 60。
This is sample English sentence 61.	这是示例中文句子 61。
This is sample English sentence 62.	这是示例中文句子 62。
This is sample English sentence 63.	这是示例中文句子 63。
This is sample English sentence 64.	这是示例中文句子 64。
This is sample English sentence 65.	这是示例中文句子 65。
This is sample English sentence 66.	这是示例中文句子 66。
This is sample English sentence 67.	这是示例中文句子 67。
This is sample English sentence 68.	这是示例中文句子 68。
This is sample English sentence 69.	这是示例中文句子 69。
This is sample English sentence 70.	这是示例中文句子 70。
This is sample English sentence 71.	这是示例中文句子 71。
This is sample English sentence 72.	这是示例中文句子 72。
This is sample English sentence 73.	这是示例中文句子 73。
This is sample English sentence 74.	这是示例中文句子 74。
This is sample English sentence 75.	这是示例中文句子 75。
This is sample English sentence 76.	这是示例中文句子 76。
This is sample English sentence 77.	这是示例中文句子 77。
This is sample English sentence 78.	这是示例中文句子 78。
This is sample English sentence 79.	这是示例中文句子 79。
This is sample English sentence 80.	这是示例中文句子 80。
This is sample English sentence 81.	这是示例中文句子 81。
This is sample English sentence 82.	这是示例中文句子 82。
This is sample English sentence 83.	这是示例中文句子 83。
This is sample English sentence 84.	这是示例中文句子 84。
This is sample English sentence 85.	这是示例中文句子 85。
This is sample English sentence 86.	这是示例中文句子 86。
This is sample English sentence 87.	这是示例中文句子 87。
This is sample English sentence 88.	这是示例中文句子 88。
This is sample English sentence 89.	这是示例中文句子 89。
This is sample English sentence 90.	这是示例中文句子 90。
This is sample English sentence 91.	这是示例中文句子 91。
This is sample English sentence 92.	这是示例中文句子 92。
This is sample English sentence 93.	这是示例中文句子 93。
This is sample English sentence 94.	这是示例中文句子 94。
This is sample English sentence 95.	这是示例中文句子 95。
This is sample English sentence 96.	这是示例中文句子 96。
This is sample English sentence 97.	这是示例中文句子 97。
This is sample English sentence 98.	这是示例中文句子 98。
This is sample English sentence 99.	这是示例中文句子 99。
This is sample English sentence 100.	这是示例中文句子 100。
